job_nummer,publication_url,target_url,anchor_text
1,fragbite.se,https://verajohn.se/casino,online casino
2,bulletin.nu,https://luckycasino.com/sv/,Lucky Casino
3,bettingsyndikatet.se,https://luckycasino.com/sv/,casino online
4,fragbite.se,https://www.bethard.com/sv/sports/esports,betting på esport
5,spelapoker.se/casino-online,https:/spelklubben.se/sv,spelklubben
